k,ARI,Silhouette,Inertia
2,0.5681159420289855,0.5817500491971916,222.36170496502308
3,0.6201351808870379,0.4599482392007265,139.8204963597498
4,0.4728177114181946,0.3869410415398183,114.09254690403088
